rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
-30.8763,0.234,-3234.75272846154,3184.75517393192,4283.1255701116,NaN,-0.532253846153847
-30.8763,5.3211,69.2451623076916,528.122104677626,684.250823377462,NaN,1.75856153846154
-30.8763,10.4395,2324.32077461539,506.507991214597,591.660167850226,NaN,5.49276923076923
-30.8763,15.5568,4525.61811153846,395.65578877885,451.861477657688,NaN,9.04185384615385
-30.8763,20.6773,6710.88735923077,466.129001440954,503.391373182553,NaN,12.2746230769231
-30.8763,25.7983,9101.77318923077,711.136196307074,755.002677851268,NaN,15.1666230769231
-30.8763,30.9192,11540.0527815385,779.224834100663,816.83175217812,NaN,17.8283769230769
-30.8763,36.0387,14206.8586353846,847.905178980699,931.182862675485,NaN,20.0921076923077
-30.8763,41.1534,17078.4137430769,884.519747403589,982.307653802678,NaN,22.1045692307692
-30.8763,46.2711,20498.0694707692,1233.27623768201,1360.2543474754,NaN,24.2299384615385
-30.8763,51.3891,27231.0249615385,3029.50007739495,3096.12091408269,NaN,30.3305923076923
-40.8672,0.2341,-3939.85423769231,4319.53199009046,5581.04880297638,NaN,4.26850769230769
-40.8672,5.3224,242.64731153846,474.073855445714,581.6065203357,NaN,4.21007692307692
-40.8672,10.4406,2385.37637923077,585.421102587455,663.341291364003,NaN,7.31679230769231
-40.8672,15.5595,4569.77947,476.740059038723,547.256942428641,NaN,10.6444153846154
-40.8672,20.6801,6771.94815461538,523.696740234517,581.635799676899,NaN,13.5249384615385
-40.8672,25.7979,9086.99263,680.63605855271,712.6711727698,NaN,16.2280076923077
-40.8672,30.9187,11495.2663276923,732.859635675512,772.460819751495,NaN,18.6476230769231
-40.8672,36.0336,14149.3241230769,841.385909179755,910.519745120178,NaN,21.0582153846154
-40.8672,41.1498,16955.4722138461,881.431993120372,953.920665159833,NaN,22.9203923076923
-40.8672,46.2677,20738.4813753846,1525.96663905082,1633.70148411034,NaN,25.2547692307692
-40.8672,51.3833,30460.3971330769,3689.89757266982,4027.21368115004,NaN,36.4991307692307
-50.8581,0.2337,-4941.04620153846,5571.50239150355,6897.17720802329,NaN,8.99304615384615
-50.8581,5.3218,322.209218461538,632.590716524021,723.725790832795,NaN,6.67702307692307
-50.8581,10.4427,2498.55936538462,518.967680154425,582.957684856314,NaN,8.97867692307693
-50.8581,15.5632,4639.15667076923,560.748714779854,598.684094208743,NaN,12.0798692307692
-50.8581,20.6799,6850.98351,602.042742462605,660.033850379705,NaN,14.8941615384615
-50.8581,25.7978,9139.21928461539,651.474661183252,702.226185866406,NaN,17.2643615384615
-50.8581,30.9168,11553.1458492308,741.132604402281,788.301516618262,NaN,19.4787076923077
-50.8581,36.0362,14277.5487161538,840.369944180179,894.153154752297,NaN,21.7732384615385
-50.8581,41.1547,17021.7310107692,954.163420772193,1001.28256095591,NaN,23.5514307692308
-50.8581,46.2737,21694.063626923,2434.14360699732,2496.35869635364,NaN,26.8635461538461
-50.8581,51.3904,37828.1038715383,6448.23094849241,6701.15358642972,NaN,49.3928846153844
