,x_deg,x_moteus_deg,y,l,mode,u_ff,t_s
98,19.465942382812496,-40.5340576171875,0.11404057668838286,0.18595942331161713,2,-0.4122254879536062,3925.115224103
99,19.345092773437496,-40.6549072265625,0.11415625499559999,0.18584374500439999,2,-0.4354199689226121,3925.116447873
100,19.185791015624996,-40.814208984375,0.11430908076180686,0.18569091923819314,2,-0.45913435533544217,3925.117719032
101,18.988037109374996,-41.011962890625,0.11449933413205332,0.18550066586794667,2,-0.4823232503423572,3925.118943765
102,18.762817382812493,-41.2371826171875,0.11471673750307507,0.18528326249692492,2,-0.5049868527010868,3925.120297812
103,18.455200195312493,-41.5447998046875,0.11501492602513547,0.18498507397486452,2,-0.5309664934610571,3925.1216241
104,18.153076171874996,-41.846923828125,0.11530918935143714,0.18469081064856285,2,-0.5538923348599621,3925.12284837
105,17.834472656249996,-42.16552734375,0.11562100311460832,0.18437899688539167,2,-0.5761074075164817,3925.124113233
106,17.4774169921875,-42.5225830078125,0.11597227522588961,0.1840277247741104,2,-0.598759085835859,3925.125383299
107,17.076416015624996,-42.923583984375,0.11636907571163832,0.18363092428836167,2,-0.6205977164605839,3925.126598421
108,16.658935546875,-43.341064453125,0.11678475561540096,0.18321524438459902,2,-0.6411695445091301,3925.127817302
109,16.203002929687496,-43.7969970703125,0.11724171046095119,0.1827582895390488,2,-0.6620376718086631,3925.129111961
110,15.730590820312493,-44.2694091796875,0.1177184616322593,0.1822815383677407,2,-0.6836877291490903,3925.130327509
111,15.214233398437496,-44.7857666015625,0.11824336489169102,0.18175663510830897,2,-0.7037932266894742,3925.131554353
112,14.664916992187495,-45.3350830078125,0.11880611361110316,0.18119388638889683,2,-0.7232815219938957,3925.132804771
113,14.082641601562498,-45.9173583984375,0.11940748837839338,0.1805925116216066,2,-0.7428455718853251,3925.13403106
114,13.500366210937495,-46.4996337890625,0.12001383760992969,0.17998616239007031,2,-0.7617621104182439,3925.135305182
115,12.846679687499998,-47.1533203125,0.12070043962311275,0.17929956037688724,2,-0.7812874525891205,3925.136615248
116,12.165527343749996,-47.83447265625,0.12142247054179953,0.17857752945820046,2,-0.8004963994358585,3925.137821796
117,11.500854492187493,-48.4991455078125,0.12213345512579592,0.17786654487420406,2,-0.8182066894812204,3925.139069047
118,10.836181640624996,-49.163818359375,0.12285072904796623,0.17714927095203375,2,-0.8354168882781696,3925.140312317
119,10.061645507812495,-49.9383544921875,0.12369441958372843,0.17630558041627156,2,-0.8528731711536017,3925.141610161
120,9.303588867187498,-50.6964111328125,0.12452826305215708,0.1754717369478429,2,-0.8697889407331545,3925.142821024
121,8.562011718749993,-51.43798828125,0.1253516456167247,0.17464835438327528,2,-0.8854059941058261,3925.144084072
122,7.7490234374999964,-52.2509765625,0.12626291800329567,0.17373708199670432,2,-0.9012997467061806,3925.145347471
123,6.941528320312497,-53.0584716796875,0.12717681459765526,0.17282318540234473,2,-0.9165603203901894,3925.146582704
124,6.134033203124998,-53.865966796875,0.12809932937747848,0.1719006706225215,2,-0.9311645218111781,3925.147773104
125,5.321044921874996,-54.678955078125,0.12903668429157977,0.17096331570842022,2,-0.9446879669217891,3925.149074745
126,4.436645507812495,-55.5633544921875,0.1300659583223835,0.1699340416776165,2,-0.9585379651178185,3925.150321144
127,3.5742187499999964,-56.42578125,0.13107908997964998,0.16892091002035,2,-0.9713575443406274,3925.151532452
128,2.7008056640624902,-57.2991943359375,0.13211441423006148,0.1678855857699385,2,-0.9832992678790586,3925.152791684
129,1.8109130859374922,-58.1890869140625,0.13317866365234798,0.166821336347652,2,-0.9951693087117712,3925.154049103
130,0.8880615234374969,-59.1119384765625,0.13429208986078,0.16570791013921998,2,-1.006547016075393,3925.155272058
131,-0.023803710937503563,-60.0238037109375,0.13540175564379142,0.16459824435620857,2,-1.0167781307756785,3925.156493125
132,-0.9301757812500003,-60.93017578125,0.1365138144962261,0.1634861855037739,2,-1.0265635422689678,3925.157725746
133,-1.8420410156250007,-61.842041015625,0.1376414593732425,0.1623585406267575,2,-1.0353201524871225,3925.158908535
134,-2.74841308593751,-62.7484130859375,0.13877080905760414,0.16122919094239585,2,-1.0436215747294764,3925.160198805
135,-3.7536621093749982,-63.753662109375,0.14003289947287298,0.159967100527127,2,-1.051623231415267,3925.161468427
136,-4.758911132812499,-64.7589111328125,0.14130460549249488,0.1586953945075051,2,-1.0589364677686262,3925.16271503
137,-5.709228515625,-65.709228515625,0.14251525851054736,0.15748474148945263,2,-1.0654483465618423,3925.163971671
138,-6.741943359375007,-66.741943359375,0.14383971779145058,0.1561602822085494,2,-1.0712287341689737,3925.165278959
139,-7.747192382812508,-67.7471923828125,0.14513731305591723,0.15486268694408276,2,-1.07633551349539,3925.166519581
140,-8.708496093750004,-68.70849609375,0.1463854412534803,0.1536145587465197,2,-1.0803785749646657,3925.167748295
141,-9.697265625000007,-69.697265625,0.1476761608675759,0.1523238391324241,2,-1.0837761419702194,3925.168981195
142,-10.6915283203125,-70.6915283203125,0.148980643375755,0.15101935662424498,2,-1.0864078168332372,3925.170243039
143,-11.685791015625005,-71.685791015625,0.15029122184296853,0.14970877815703146,2,-1.0882370108593,3925.17146505
144,-12.713012695312509,-72.7130126953125,0.15165108642033379,0.1483489135796662,2,-1.089257910175904,3925.172678432
145,-13.795166015624998,-73.795166015625,0.1530894428632973,0.1469105571367027,2,-1.089491772175589,3925.17409046
146,-14.849853515625007,-74.849853515625,0.15449632276553293,0.14550367723446705,2,-1.0887452679582044,3925.175307452
147,-15.860595703125,-75.860595703125,0.15584861282135004,0.14415138717864995,2,-1.08721219017965,3925.176563648
148,-16.871337890625004,-76.871337890625,0.15720423370513176,0.14279576629486823,2,-1.084824513490103,3925.177847585
149,-17.9095458984375,-77.9095458984375,0.1585995131357436,0.14140048686425638,2,-1.081397665004614,3925.179108188
150,-18.942260742187507,-78.9422607421875,0.15998958055959644,0.14001041944040354,2,-1.077129353906925,3925.180413235
151,-20.0079345703125,-80.0079345703125,0.16142556179393244,0.13857443820606755,2,-1.0717649452994167,3925.181641543
152,-20.991210937499996,-80.9912109375,0.16275126423608607,0.13724873576391391,2,-1.0658092269914556,3925.182915127
153,-22.040405273437504,-82.0404052734375,0.16416593924641362,0.13583406075358637,2,-1.0586467754660158,3925.184254101
